Ticker,Sales+,Expenses+,Operating Profit,OPM %,Other Income+,Interest,Depreciation,Profit before tax,Tax %,Net Profit+,EPS in Rs,Raw PDF,Revenue+,Financing Profit,Financing Margin %,Gross NPA %,Net NPA %
SBILIFE,"27,717","27,292",426,2%,11,0,0,437,14%,377,3.76,,,,,,
SBILIFE,"26,817","26,483",333,1%,13,0,0,346,12%,304,3.04,,,,,,
SBILIFE,"21,296","22,197",-901,-4%,"1,723",0,0,822,5%,777,7.76,,,,,,
WIPRO,"15,586","12,314","3,271",21%,"3,333",119,395,"6,090",10%,"5,479",5.00,,,,,,
WIPRO,"16,256","13,161","3,095",19%,390,146,395,"2,944",25%,"2,217",2.02,,,,,,
WIPRO,"16,942","13,899","3,043",18%,453,135,405,"2,956",23%,"2,283",2.08,,,,,,
WIPRO,"17,079","13,942","3,137",18%,672,174,408,"3,227",25%,"2,413",2.20,,,,,,
WIPRO,"17,477","14,619","2,859",16%,842,174,384,"3,142",28%,"2,264",2.06,,,,,,
ADANIENT,"8,808","8,407",400,5%,156,181,33,342,34%,227,2.06,,,,,,
ADANIENT,"20,318","19,757",562,3%,223,151,32,601,26%,443,3.89,,,,,,
ADANIENT,"22,137","21,608",529,2%,301,161,33,635,26%,469,4.12,,,,,,
ADANIENT,"12,142","11,900",242,2%,373,210,32,373,28%,270,2.37,,,,,,
ADANIENT,"10,325","9,825",501,5%,283,142,34,608,28%,441,3.87,,,,,,
DIVISLAB,"2,495","1,399","1,096",44%,51,0,81,"1,066",17%,883,33.26,,,,,,
DIVISLAB,"2,204","1,367",837,38%,90,0,83,844,18%,691,26.03,,,,,,
DIVISLAB,"1,823","1,214",609,33%,79,0,85,603,19%,487,18.34,,,,,,
DIVISLAB,"1,690","1,280",409,24%,116,0,87,439,29%,311,11.71,,,,,,
DIVISLAB,"1,908","1,419",489,26%,66,0,87,468,32%,319,12.02,,,,,,
APOLLOHOSP,"1,421","1,089",332,23%,24,58,105,193,21%,154,10.69,,,,,,
APOLLOHOSP,"1,530","1,141",388,25%,10,60,89,250,-33%,333,23.17,,,,,,
APOLLOHOSP,"1,716","1,263",453,26%,43,58,92,346,19%,279,19.41,,,,,,
APOLLOHOSP,"1,639","1,222",417,25%,55,60,89,323,24%,246,17.08,,,,,,
APOLLOHOSP,"1,641","1,218",423,26%,43,61,97,309,26%,227,15.78,,,,,,
HINDALCO,"18,969","15,705","3,264",17%,62,356,449,"2,521",36%,"1,601",7.12,,,,,,
HINDALCO,"19,518","16,591","2,927",15%,134,333,451,"2,277",36%,"1,448",6.44,,,,,,
HINDALCO,"18,382","17,005","1,377",7%,190,322,449,796,31%,548,2.44,,,,,,
HINDALCO,"18,983","17,640","1,343",7%,137,309,464,707,30%,498,2.22,,,,,,
HINDALCO,"19,995","18,220","1,775",9%,166,336,510,"1,095",24%,832,3.70,,,,,,
COALINDIA,375,109,266,71%,"3,609",0,5,"3,870",2%,"3,793",6.16,,,,,,
COALINDIA,320,135,185,58%,37,0,5,216,26%,161,0.26,,,,,,
COALINDIA,426,306,120,28%,"2,635",0,15,"2,740",2%,"2,694",4.37,,,,,,
COALINDIA,695,472,224,32%,"8,672",1,11,"8,883",1%,"8,809",14.29,,,,,,
COALINDIA,509,452,57,11%,"3,209",0,12,"3,254",4%,"3,138",5.09,,,,,,
